Ward,State,District,Subdistt,Town/Village,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
54,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0054,Urban,1211,4962,2455,2507,330,184,146,180,85,95,71,33,38,4318,2148,2170,644,307,337,1655,1245,410,1544,1182,362,46,36,10,7,4,3,44,29,15,1447,1113,334,111,63,48,5,2,3,1,1,0,14,2,12,91,58,33,93,53,40,5,2,3,1,1,0,11,1,10,76,49,27,18,10,8,0,0,0,0,0,0,3,1,2,15,9,6,3307,1210,2097
55,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0055,Urban,1541,6938,3392,3546,718,377,341,2632,1276,1356,91,45,46,5304,2719,2585,1634,673,961,2423,1792,631,2253,1709,544,21,15,6,62,33,29,79,36,43,2091,1625,466,170,83,87,9,5,4,20,6,14,11,3,8,130,69,61,108,53,55,8,4,4,12,4,8,9,2,7,79,43,36,62,30,32,1,1,0,8,2,6,2,1,1,51,26,25,4515,1600,2915
56,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0056,Urban,1870,8800,4480,4320,1009,530,479,1047,537,510,78,39,39,6693,3528,3165,2107,952,1155,2960,2336,624,2778,2237,541,53,49,4,187,128,59,104,68,36,2434,1992,442,182,99,83,1,1,0,5,2,3,16,2,14,160,94,66,148,82,66,0,0,0,4,2,2,12,2,10,132,78,54,34,17,17,1,1,0,1,0,1,4,0,4,28,16,12,5840,2144,3696
57,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0057,Urban,1305,5850,2930,2920,525,269,256,465,240,225,17,8,9,4933,2522,2411,917,408,509,1994,1529,465,1881,1463,418,20,19,1,10,8,2,95,60,35,1756,1376,380,113,66,47,4,3,1,7,7,0,9,2,7,93,54,39,98,57,41,4,3,1,4,4,0,8,2,6,82,48,34,15,9,6,0,0,0,3,3,0,1,0,1,11,6,5,3856,1401,2455
58,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0058,Urban,1290,6208,3074,3134,680,359,321,1322,655,667,20,10,10,4694,2461,2233,1514,613,901,2143,1630,513,1913,1484,429,24,24,0,10,8,2,114,71,43,1765,1381,384,230,146,84,5,3,2,7,5,2,24,6,18,194,132,62,196,124,72,5,3,2,6,5,1,16,2,14,169,114,55,34,22,12,0,0,0,1,0,1,8,4,4,25,18,7,4065,1444,2621
59,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0059,Urban,1273,5727,2794,2933,577,286,291,1239,577,662,15,10,5,4578,2300,2278,1149,494,655,2098,1515,583,1755,1297,458,36,29,7,14,10,4,65,41,24,1640,1217,423,343,218,125,7,6,1,7,5,2,30,13,17,299,194,105,273,171,102,7,6,1,6,5,1,14,7,7,246,153,93,70,47,23,0,0,0,1,0,1,16,6,10,53,41,12,3629,1279,2350
60,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0060,Urban,1046,5359,2684,2675,618,329,289,87,43,44,0,0,0,4135,2149,1986,1224,535,689,1648,1373,275,1552,1317,235,63,58,5,130,109,21,87,56,31,1272,1094,178,96,56,40,4,3,1,1,1,0,8,4,4,83,48,35,84,50,34,4,3,1,1,1,0,7,4,3,72,42,30,12,6,6,0,0,0,0,0,0,1,0,1,11,6,5,3711,1311,2400
61,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0061,Urban,1786,8922,4610,4312,1064,555,509,932,473,459,50,28,22,6608,3615,2993,2314,995,1319,3047,2482,565,2612,2180,432,449,368,81,174,98,76,49,24,25,1940,1690,250,435,302,133,9,7,2,20,10,10,37,9,28,369,276,93,393,276,117,8,6,2,19,9,10,33,9,24,333,252,81,42,26,16,1,1,0,1,1,0,4,0,4,36,24,12,5875,2128,3747
62,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0062,Urban,1171,5683,2920,2763,676,380,296,438,218,220,60,34,26,4267,2287,1980,1416,633,783,1844,1511,333,1752,1457,295,141,119,22,104,77,27,69,44,25,1438,1217,221,92,54,38,4,0,4,13,8,5,11,1,10,64,45,19,72,44,28,2,0,2,10,5,5,6,1,5,54,38,16,20,10,10,2,0,2,3,3,0,5,0,5,10,7,3,3839,1409,2430
63,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0063,Urban,1426,7125,3358,3767,688,324,364,776,354,422,20,11,9,5489,2814,2675,1636,544,1092,2350,1781,569,2138,1688,450,264,150,114,113,78,35,85,64,21,1676,1396,280,212,93,119,10,7,3,11,7,4,21,8,13,170,71,99,171,74,97,10,7,3,9,6,3,12,3,9,140,58,82,41,19,22,0,0,0,2,1,1,9,5,4,30,13,17,4775,1577,3198
